 year |   pickup_datetime   
 2019 | 2019-03-08 22:31:13
 2019 | 2019-03-11 19:52:31
 2019 | 2019-03-11 22:23:32
 2019 | 2019-03-12 23:12:48
 2019 | 2019-03-12 23:28:13
 2019 | 2019-03-12 23:36:56
 2019 | 2019-03-13 06:50:11
 2019 | 2019-03-14 23:16:13
 2019 | 2019-03-17 01:04:30
 2019 | 2019-03-17 01:13:50
 2019 | 2019-03-17 01:26:07
 2019 | 2019-03-17 01:38:09
 2019 | 2019-03-21 16:10:59
 2019 | 2019-03-21 16:24:52
 2019 | 2019-03-23 09:36:59
 2019 | 2019-03-24 12:02:19
 2019 | 2019-03-25 09:37:07
 2019 | 2019-03-28 07:01:40
 2019 | 2019-03-28 07:24:48
 2019 | 2019-04-05 07:29:01
 2019 | 2019-04-05 08:03:47
 2019 | 2019-04-07 09:14:15
 2019 | 2019-04-07 09:29:33
 2019 | 2019-04-07 09:37:57
 2019 | 2019-04-07 09:49:57
 2019 | 2019-04-13 17:05:15
 2019 | 2019-04-13 17:14:27
